Model,Accuracy,Specificity,Precision,Sensitivity,F1 Score,Time (sec)
Random Forest,0.9721559268098647,0.9835834791734436,0.9721689466894209,0.9721559268098647,0.9720926098902005,2.4337358474731445
Quantum Random Forest (poly+RF),0.9691726332537789,0.9807980611071594,0.9693420176116846,0.9691726332537789,0.9690503690363552,2.1979029178619385
Gradient Boosting,0.9558472553699284,0.9725489027823273,0.9561025234780842,0.9558472553699284,0.9555082604429608,7.584524154663086
Decision Tree,0.9534606205250596,0.9745668226243347,0.9532989114221729,0.9534606205250596,0.9533536471315514,0.09814333915710449
Logistic Regression,0.9031424025457438,0.9503240899451387,0.909469058238567,0.9031424025457438,0.9018320451059976,1.8656315803527832
K-Nearest Neighbors,0.7702863961813843,0.869569160259538,0.7717987790364763,0.7702863961813843,0.7684890335890006,0.04669952392578125
Support Vector Machine,0.5173031026252983,0.6586989675231133,0.5310323833150393,0.5173031026252983,0.4508384132282938,18.2821102142334
Naive Bayes,0.48727128082736676,0.6732426182231177,0.5240628153634208,0.48727128082736676,0.40054176990868245,0.01577448844909668
