,precision,recall,f1-score,support
COAL,0.9637599093997735,0.9121114683815649,0.9372246696035242,933.0
NG,0.9902313624678664,0.9861751152073732,0.9881990764494613,1953.0
OIL,0.9527272727272728,0.9785247432306255,0.965453707968678,2142.0
accuracy,0.9691726332537789,0.9691726332537789,0.9691726332537789,0.9691726332537789
macro avg,0.9689061815316374,0.9589371089398546,0.9636258180072211,5028.0
weighted avg,0.9693420176116846,0.9691726332537789,0.9690503690363552,5028.0
