Model,Accuracy,Specificity,Precision,Sensitivity,F1 Score,Time (sec)
Random Forest,0.9721559268098648,0.9835834791734436,0.9721689466894208,0.9721559268098648,0.9720926098902004,2.947488784790039
Quantum Random Forest (poly+RF),0.9691726332537788,0.9807980611071594,0.9693420176116846,0.9691726332537788,0.9690503690363552,2.993293285369873
Gradient Boosting,0.9558472553699284,0.9725489027823272,0.9561025234780842,0.9558472553699284,0.9555082604429608,9.395304918289185
Decision Tree,0.9534606205250596,0.9745668226243348,0.9532989114221728,0.9534606205250596,0.9533536471315514,0.1469366550445556
Quantum Random Forest (poly embed + RF),0.9341053661719132,0.9762169371903948,0.9334612195327124,0.9341053661719132,0.9331749217737898,
Logistic Regression,0.9031424025457438,0.9503240899451388,0.909469058238567,0.9031424025457438,0.9018320451059976,2.59198260307312
K-Nearest Neighbors,0.7702863961813843,0.869569160259538,0.7717987790364763,0.7702863961813843,0.7684890335890006,0.0627884864807128
Support Vector Machine,0.5173031026252983,0.6586989675231133,0.5310323833150393,0.5173031026252983,0.4508384132282938,24.685163259506226
Naive Bayes,0.4872712808273667,0.6732426182231177,0.5240628153634208,0.4872712808273667,0.4005417699086824,0.0177803039550781
