iter	Logloss
0	0.5815068034
1	0.4748002991
2	0.3980872812
3	0.3234447526
4	0.2853637086
5	0.249277302
6	0.2216363313
7	0.1972245302
8	0.1761330257
9	0.1549489625
10	0.1396424478
11	0.1279824289
12	0.1150706644
13	0.1060145442
14	0.09981117506
15	0.09401253808
16	0.09002096302
17	0.0848704846
18	0.08036472456
19	0.07727578196
20	0.07458171707
21	0.0721148474
22	0.0696936746
23	0.06815509728
24	0.06651921309
25	0.06536898337
26	0.06341537538
27	0.06245444142
28	0.06189106875
29	0.06090617654
30	0.059740188
31	0.05884691636
32	0.0579303382
33	0.05738761243
34	0.05673448778
35	0.05632497618
36	0.05601646673
37	0.05575732238
38	0.05516394861
39	0.05468135403
40	0.05409438991
41	0.05341751948
42	0.05280112662
43	0.05256142483
44	0.05216473509
45	0.05185826314
46	0.0516628983
47	0.05134097162
48	0.05090310958
49	0.05052152981
50	0.04998666344
51	0.04964219792
52	0.04938910625
53	0.04902178886
54	0.04875893262
55	0.04853076472
56	0.04835946693
57	0.04821479643
58	0.04814089897
59	0.04796451018
60	0.04782793977
61	0.04749974377
62	0.04737319638
63	0.04702215925
64	0.04679014276
65	0.04665910275
66	0.0464360751
67	0.04620384284
68	0.04590386243
69	0.04571136133
70	0.04530626443
71	0.04499640656
72	0.04492390046
73	0.04469898964
74	0.04449952497
75	0.04435926516
76	0.04427970382
77	0.04409456689
78	0.04384250508
79	0.04375544675
80	0.0435059215
81	0.04341617597
82	0.0431716081
83	0.04298711474
84	0.04285886803
85	0.04279852225
86	0.04262018287
87	0.04247255987
88	0.04231219955
89	0.04218636828
90	0.04207978583
91	0.04202293183
92	0.04184731154
93	0.04174378487
94	0.04159354853
95	0.0414956516
96	0.04145180657
97	0.04139299834
98	0.04118939669
99	0.04105988369
100	0.04089940892
101	0.04070695775
102	0.04066032585
103	0.04059750565
104	0.04057510213
105	0.04050944185
106	0.0404569809
107	0.04035780979
108	0.04029735538
109	0.04016341772
110	0.04009646356
111	0.03994610478
112	0.03989802517
113	0.03985195958
114	0.03972821509
115	0.0396374332
116	0.03948170184
117	0.03936679956
118	0.03926917347
119	0.03919564222
120	0.03908303538
121	0.03903859425
122	0.0389068969
123	0.03884617707
124	0.0387530086
125	0.03871714784
126	0.03869164024
127	0.03859339105
128	0.0385616403
129	0.03850855378
130	0.03838160552
131	0.03830333124
132	0.03825953985
133	0.03814516824
134	0.03808333208
135	0.03805858519
136	0.03798720311
137	0.03794216614
138	0.03792755747
139	0.03788420639
140	0.03779613813
141	0.03766813514
142	0.03759660873
143	0.03756367225
144	0.0375133448
145	0.03740415729
146	0.0373110631
147	0.0372411046
148	0.03719394438
149	0.03713945406
150	0.03705111895
151	0.03701517126
152	0.03697227033
153	0.03693769867
154	0.03691991682
155	0.03683343949
156	0.03673410495
157	0.03667683962
158	0.03664162074
159	0.03662361302
160	0.03657279734
161	0.03651933566
162	0.03644771729
163	0.03636911906
164	0.03634531686
165	0.03633032106
166	0.03631156994
167	0.03623882122
168	0.03618187733
169	0.03610869504
170	0.03608246139
171	0.03606386674
172	0.0360293859
173	0.03596569632
174	0.0358884309
175	0.03583517189
176	0.03579886076
177	0.03569827007
178	0.03563039791
179	0.03558066953
180	0.03555378569
181	0.03553532442
182	0.03551051436
183	0.03548467016
184	0.03540200915
185	0.03535167151
186	0.03533939477
187	0.03527520793
188	0.03521059978
189	0.03516493793
190	0.03514028171
191	0.03509088113
192	0.03505683149
193	0.03499957241
194	0.03496662493
195	0.03493631987
196	0.03491315535
197	0.03485348914
198	0.03480148546
199	0.03474566791
